"","Name","Score","gene_names"
"ENSG00000142235","ENSG00000142235",2.69818921854989e-07,"LMTK3"
"ENSG00000172461","ENSG00000172461",1.12804593679045e-05,"FUT9"
"ENSG00000181790","ENSG00000181790",1.12804593679045e-05,"ADGRB1"
"ENSG00000196218","ENSG00000196218",4.07511451214014e-05,"RYR1"
"ENSG00000128596","ENSG00000128596",4.96115106998751e-05,"CCDC136"
"ENSG00000154118","ENSG00000154118",0.000121682267314183,"JPH3"
"ENSG00000132681","ENSG00000132681",0.000168311530227286,"ATP1A4"
"ENSG00000105894","ENSG00000105894",0.000345129840644841,"PTN"
"ENSG00000101542","ENSG00000101542",0.000683690763949098,"CDH20"
"ENSG00000080854","ENSG00000080854",0.000773728811241353,"IGSF9B"
"ENSG00000118777","ENSG00000118777",0.000940868917994991,"ABCG2"
"ENSG00000121871","ENSG00000121871",0.000983633577196839,"SLITRK3"
"ENSG00000205277","ENSG00000205277",0.00103223140131712,"MUC12"
"ENSG00000184697","ENSG00000184697",0.00133346614191374,"CLDN6"
"ENSG00000143226","ENSG00000143226",0.00184522812377277,"FCGR2A"
"ENSG00000132164","ENSG00000132164",0.00349506764337067,"SLC6A11"
"ENSG00000141837","ENSG00000141837",0.00381271104251105,"CACNA1A"
"ENSG00000158955","ENSG00000158955",0.00545493452469715,"WNT9B"
"ENSG00000110148","ENSG00000110148",0.00634237630254884,"CCKBR"
"ENSG00000170419","ENSG00000170419",0.00657658638187621,"VSTM2A"
"ENSG00000203747","ENSG00000203747",0.00714343479391258,"FCGR3A"
"ENSG00000084628","ENSG00000084628",0.0100300839164364,"NKAIN1"
"ENSG00000185818","ENSG00000185818",0.0135886038095041,"NAT8L"
"ENSG00000198019","ENSG00000198019",0.0137562892929136,"FCGR1B"
"ENSG00000081138","ENSG00000081138",0.0169939917490722,"CDH7"
"ENSG00000171951","ENSG00000171951",0.0176435686532522,"SCG2"
"ENSG00000175928","ENSG00000175928",0.0400589726026017,"LRRN1"
