,gene_names
ENSG00000160072,ATAD3B
ENSG00000234396,NA
ENSG00000225972,MTND1P23
ENSG00000224315,RPL7P7
ENSG00000198744,MTCO3P12
ENSG00000279928,NA
ENSG00000228037,LOC100996583
ENSG00000142611,PRDM16
ENSG00000225630,MTND2P28
ENSG00000284616,NA
ENSG00000157911,PEX10
ENSG00000269896,LOC100129534
ENSG00000237973,MTCO1P12
ENSG00000228463,RPL23AP21
ENSG00000260972,NA
ENSG00000157933,SKI
ENSG00000224340,RPL21P21
ENSG00000226545,RPL27P3
ENSG00000268663,NA
ENSG00000226374,LINC01345
ENSG00000229280,EEF1DP6
ENSG00000142655,PEX14
ENSG00000232596,LINC01646
ENSG00000235054,LINC01777
ENSG00000232663,NA
ENSG00000240409,MTATP8P1
ENSG00000229344,MTCO2P12
ENSG00000231510,NA
ENSG00000149527,PLCH2
ENSG00000284739,NA
ENSG00000171621,SPSB1
ENSG00000272235,NA
ENSG00000284694,NA
ENSG00000230021,LOC101928626
ENSG00000287356,NA
ENSG00000224387,NA
ENSG00000285629,NA
ENSG00000173673,HES3
ENSG00000142583,SLC2A5
ENSG00000284674,LINC02781
ENSG00000272161,NA
ENSG00000237094,NA
ENSG00000224338,MTCYBP45
ENSG00000074800,ENO1
ENSG00000116786,PLEKHM2
ENSG00000287727,NA
ENSG00000228423,NA
ENSG00000286448,NA
ENSG00000131686,CA6
ENSG00000229305,LOC100129776
ENSG00000284703,NA
ENSG00000226457,RPL22P3
ENSG00000173614,NMNAT1
ENSG00000248527,MTATP6P1
ENSG00000215720,NA
ENSG00000233623,PGAM1P11
ENSG00000162592,CCDC27
ENSG00000116254,CHD5
ENSG00000233645,NA
ENSG00000204624,DISP3
ENSG00000142606,MMEL1
ENSG00000235146,NA
ENSG00000225931,NA
ENSG00000171729,TMEM51
ENSG00000279457,WASH9P
ENSG00000162571,TTLL10
ENSG00000229393,NA
ENSG00000037637,FBXO42
ENSG00000287586,NA
ENSG00000159423,ALDH4A1
ENSG00000142599,RERE
ENSG00000227169,NA
ENSG00000283356,NA
ENSG00000011021,CLCN6
ENSG00000142615,CELA2A
ENSG00000215704,CELA2B
ENSG00000157916,RER1
ENSG00000157881,PANK4
ENSG00000238290,ERRFI1-DT
ENSG00000225387,NA
ENSG00000048707,VPS13D
ENSG00000158748,HTR6
ENSG00000225196,RPL10P17
ENSG00000162444,RBP7
ENSG00000279625,NA
ENSG00000180758,GPR157
ENSG00000184677,ZBTB40
ENSG00000230679,ENO1-AS1
ENSG00000270136,NA
ENSG00000288398,NA
ENSG00000224621,NA
ENSG00000285833,NA
ENSG00000131697,NPHP4
ENSG00000284692,LOC105376686
ENSG00000284745,NA
ENSG00000280222,NA
ENSG00000227634,LINC01714
ENSG00000285945,NA
ENSG00000229162,NA
ENSG00000197921,HES5
ENSG00000233755,NA
ENSG00000233929,NA
ENSG00000271742,NA
ENSG00000226396,NA
ENSG00000169504,CLIC4
ENSG00000235282,NA
ENSG00000055070,SZRD1
ENSG00000175087,PDIK1L
ENSG00000157191,NECAP2
ENSG00000284699,NA
ENSG00000230035,NA
ENSG00000235185,MICOS10-DT
ENSG00000225643,NA
ENSG00000284666,NA
ENSG00000228943,NA
ENSG00000234397,NA
ENSG00000284309,NA
ENSG00000162511,LAPTM5
ENSG00000158014,SLC30A2
ENSG00000204138,PHACTR4
ENSG00000233419,NA
ENSG00000235263,NA
ENSG00000228176,NA
ENSG00000231251,NA
ENSG00000142675,CNKSR1
ENSG00000197245,FAM110D
ENSG00000261025,NA
ENSG00000116237,ICMT
ENSG00000130772,MED18
ENSG00000215899,LOC441880
ENSG00000225011,NA
ENSG00000235069,NA
ENSG00000284676,NA
ENSG00000237058,NA
ENSG00000233399,LINC01648
ENSG00000090020,SLC9A1
ENSG00000157978,LDLRAP1
ENSG00000226944,RNF207-AS1
ENSG00000270282,NA
ENSG00000130770,ATP5IF1
ENSG00000229044,NA
ENSG00000162512,SDC3
ENSG00000158006,PAFAH2
ENSG00000214812,NA
ENSG00000126698,DNAJC8
ENSG00000229447,NA
ENSG00000229607,NA
ENSG00000130766,SESN2
ENSG00000168528,SERINC2
ENSG00000196581,AJAP1
ENSG00000169403,PTAFR
ENSG00000084628,NKAIN1
ENSG00000060688,SNRNP40
ENSG00000171612,SLC25A33
ENSG00000270927,NA
ENSG00000188910,GJB3
ENSG00000230523,LINC01756
ENSG00000116138,DNAJC16
ENSG00000158161,EYA3
ENSG00000234619,RPL7P11
ENSG00000121769,FABP3
ENSG00000142627,EPHA2
ENSG00000284668,LINC02780
ENSG00000233234,NA
ENSG00000142632,ARHGEF19
ENSG00000234593,KAZN-AS1
ENSG00000158292,GPR153
ENSG00000270605,NA
ENSG00000189337,KAZN
ENSG00000232912,NA
ENSG00000235084,NA
ENSG00000235143,NA
ENSG00000225478,NA
ENSG00000225077,NA
ENSG00000028137,TNFRSF1B
ENSG00000238249,NA
ENSG00000204464,TMEM51-AS2
ENSG00000233372,NA
ENSG00000283259,NA
ENSG00000284543,NA
ENSG00000130939,UBE4B
ENSG00000175147,TMEM51-AS1
ENSG00000127472,PLA2G5
ENSG00000060656,PTPRU
ENSG00000163867,ZMYM6
ENSG00000232768,LOC107985097
ENSG00000230214,FTLP18
ENSG00000189280,GJB5
ENSG00000134698,AGO4
ENSG00000134690,CDCA8
ENSG00000272420,NA
ENSG00000132881,CPLANE2
ENSG00000273274,ZBTB8B
ENSG00000116251,RPL22
ENSG00000272510,NA
ENSG00000158286,RNF207
ENSG00000236648,LINC02810
ENSG00000232273,NA
ENSG00000009709,PAX7
ENSG00000287396,NA
ENSG00000223589,NA
ENSG00000158008,EXTL1
ENSG00000130940,CASZ1
ENSG00000116771,AGMAT
ENSG00000237301,NA
ENSG00000162585,FAAP20
ENSG00000163879,DNALI1
ENSG00000227527,NA
ENSG00000116954,RRAGC
ENSG00000228589,NA
ENSG00000163873,GRIK3
ENSG00000117215,PLA2G2D
ENSG00000196449,YRDC
ENSG00000227538,NA
ENSG00000232208,NA
ENSG00000236500,NA
ENSG00000044012,GUCA2B
ENSG00000179051,RCC2
ENSG00000215895,HSPA5P1
ENSG00000284650,NA
ENSG00000237329,NA
ENSG00000236948,NA
ENSG00000126067,PSMB2
ENSG00000274944,NA
ENSG00000132906,CASP9
ENSG00000197312,DDI2
ENSG00000284748,NA
ENSG00000272078,NA
ENSG00000173660,UQCRH
ENSG00000224592,NA
ENSG00000230451,RPS29P6
ENSG00000231606,NA
ENSG00000215900,NA
ENSG00000284632,NA
ENSG00000241014,GPR199P
ENSG00000054118,THRAP3
ENSG00000254553,NA
ENSG00000284653,NA
ENSG00000237749,NA
ENSG00000276747,PADI6
ENSG00000284705,NA
ENSG00000228776,NA
ENSG00000159339,PADI4
ENSG00000197982,C1orf122
ENSG00000261781,LINC01654
ENSG00000183317,EPHA10
ENSG00000183386,FHL3
ENSG00000284743,NA
ENSG00000158315,RHBDL2
