,meanPerfusionScore,hgncSymbol
ENSG00000112414,839.0,ADGRG6
ENSG00000169248,668.0,CXCL11
ENSG00000173705,668.0,SUSD5
ENSG00000268500,598.0,SIGLEC5
ENSG00000167895,596.0,TMC8
ENSG00000185885,503.0,IFITM1
ENSG00000154118,487.5,JPH3
ENSG00000123104,469.25,ITPR2
ENSG00000171951,467.0,SCG2
ENSG00000104888,467.0,SLC17A7
ENSG00000078081,465.0,LAMP3
ENSG00000183166,465.0,CALN1
ENSG00000169181,465.0,GSG1L
ENSG00000205277,465.0,MUC12
ENSG00000181790,465.0,ADGRB1
ENSG00000130433,465.0,CACNG6
ENSG00000143226,465.0,FCGR2A
ENSG00000196296,463.0,ATP2A1
ENSG00000175356,463.0,SCUBE2
ENSG00000110446,461.0,SLC15A3
ENSG00000166257,451.75,SCN3B
ENSG00000141837,451.75,CACNA1A
ENSG00000130303,444.0,BST2
ENSG00000142185,442.25,TRPM2
ENSG00000198019,442.25,FCGR1B
ENSG00000115705,440.5,TPO
ENSG00000124215,440.25,CDH26
ENSG00000147434,431.0,CHRNA6
ENSG00000132681,431.0,ATP1A4
ENSG00000198822,431.0,GRM3
ENSG00000112053,431.0,SLC26A8
ENSG00000164604,431.0,GPR85
ENSG00000197992,431.0,CLEC9A
ENSG00000196218,431.0,RYR1
ENSG00000120251,421.75,GRIA2
ENSG00000166527,421.5,CLEC4D
ENSG00000088053,421.5,GP6
ENSG00000242574,421.5,HLA-DMB
ENSG00000166928,421.5,MS4A14
ENSG00000185737,421.5,NRG3
ENSG00000172116,421.5,CD8B
ENSG00000258227,419.5,CLEC5A
ENSG00000103056,419.5,SMPD3
ENSG00000204577,419.5,LILRB3
ENSG00000203747,419.5,FCGR3A
ENSG00000086730,419.5,LAT2
ENSG00000100678,419.5,SLC8A3
ENSG00000163377,419.5,TAFA4
ENSG00000005844,419.5,ITGAL
ENSG00000254415,419.5,SIGLEC14
ENSG00000149654,419.5,CDH22
ENSG00000151952,419.5,TMEM132D
ENSG00000096996,419.5,IL12RB1
ENSG00000169896,419.5,ITGAM
ENSG00000081237,419.5,PTPRC
ENSG00000174123,419.5,TLR10
ENSG00000196119,417.75,OR8A1
ENSG00000099998,417.5,GGT5
ENSG00000013725,417.5,CD6
ENSG00000169495,417.5,HTRA4
ENSG00000108932,417.5,SLC16A6
ENSG00000284733,417.5,OR4F29
ENSG00000204161,410.25,TMEM273
ENSG00000140749,408.25,IGSF6
ENSG00000132517,408.25,SLC52A1
ENSG00000196242,408.25,OR2C3
ENSG00000187474,408.25,FPR3
ENSG00000197106,408.25,SLC6A17
ENSG00000105609,408.25,LILRB5
ENSG00000126262,408.25,FFAR2
ENSG00000166927,408.25,MS4A7
ENSG00000149573,406.5,MPZL2
ENSG00000188037,406.25,CLCN1
ENSG00000142408,402.5,CACNG8
ENSG00000114771,399.0,AADAC
ENSG00000165071,397.0,TMEM71
ENSG00000170956,397.0,CEACAM3
ENSG00000145416,397.0,MARCHF1
ENSG00000170615,397.0,SLC26A5
ENSG00000133962,395.0,CATSPERB
ENSG00000028137,395.0,TNFRSF1B
ENSG00000106178,395.0,CCL24
ENSG00000196666,395.0,FAM180B
ENSG00000137463,381.75,MGARP
ENSG00000087253,379.75,LPCAT2
ENSG00000146411,377.25,SLC2A12
ENSG00000116299,370.25,ELAPOR1
ENSG00000183117,364.5,CSMD1
ENSG00000080854,362.5,IGSF9B
ENSG00000091129,361.0,NRCAM
ENSG00000003989,361.0,SLC7A2
ENSG00000168077,359.0,SCARA3
ENSG00000152952,357.0,PLOD2
ENSG00000141338,357.0,ABCA8
ENSG00000160886,356.75,LY6K
ENSG00000085563,354.75,ABCB1
ENSG00000118777,354.75,ABCG2
ENSG00000135472,353.0,FAIM2
ENSG00000183317,353.0,EPHA10
ENSG00000160712,350.75,IL6R
ENSG00000042980,341.75,ADAM28
ENSG00000165478,341.75,HEPACAM
ENSG00000142583,341.75,SLC2A5
ENSG00000167281,341.75,RBFOX3
ENSG00000071991,341.75,CDH19
ENSG00000167614,341.75,TTYH1
ENSG00000196376,341.75,SLC35F1
ENSG00000018625,341.75,ATP1A2
ENSG00000149294,341.75,NCAM1
ENSG00000151320,339.75,AKAP6
ENSG00000110436,334.0,SLC1A2
ENSG00000124731,332.25,TREM1
ENSG00000204278,332.0,TMEM235
ENSG00000204655,330.5,MOG
ENSG00000186723,330.5,OR10H1
ENSG00000153012,330.5,LGI2
ENSG00000150637,330.25,CD226
ENSG00000197471,330.25,SPN
ENSG00000178789,330.25,CD300LB
ENSG00000131042,330.25,LILRB2
ENSG00000153563,330.25,CD8A
ENSG00000120903,330.25,CHRNA2
ENSG00000132164,330.25,SLC6A11
ENSG00000197629,330.25,MPEG1
ENSG00000172519,328.5,OR10H5
ENSG00000182885,328.25,ADGRG3
ENSG00000178297,328.25,TMPRSS9
ENSG00000164796,321.0,CSMD3
ENSG00000105366,321.0,SIGLEC8
ENSG00000169245,321.0,CXCL10
ENSG00000078549,320.75,ADCYAP1R1
ENSG00000169894,319.0,MUC3A
ENSG00000221933,319.0,OR2A25
ENSG00000196660,319.0,SLC30A10
ENSG00000090661,319.0,CERS4
ENSG00000167613,319.0,LAIR1
ENSG00000152092,319.0,ASTN1
ENSG00000105383,319.0,CD33
ENSG00000134539,319.0,KLRD1
ENSG00000178233,319.0,TMEM151B
ENSG00000121594,319.0,CD80
ENSG00000118160,319.0,SLC8A2
ENSG00000258986,319.0,TMEM179
ENSG00000134460,319.0,IL2RA
ENSG00000183908,319.0,LRRC55
ENSG00000157087,319.0,ATP2B2
ENSG00000171049,319.0,FPR2
ENSG00000067715,317.0,SYT1
ENSG00000179817,317.0,MRGPRX4
ENSG00000005471,317.0,ABCB4
ENSG00000221858,309.75,OR2A12
ENSG00000142235,309.0,LMTK3
ENSG00000273777,307.75,CEACAM20
ENSG00000162753,307.75,SLC9C2
ENSG00000185245,307.75,GP1BA
ENSG00000106302,305.75,HYAL4
ENSG00000221836,305.75,OR2A5
ENSG00000007129,305.75,CEACAM21
ENSG00000137975,305.75,CLCA2
ENSG00000143552,305.75,NUP210L
ENSG00000109927,305.75,TECTA
ENSG00000185862,300.0,EVI2B
ENSG00000126860,300.0,EVI2A
ENSG00000174125,300.0,TLR1
ENSG00000089041,298.0,P2RX7
ENSG00000110975,288.75,SYT10
ENSG00000129450,288.75,SIGLEC9
ENSG00000172461,288.5,FUT9
ENSG00000095303,286.75,PTGS1
ENSG00000128617,286.75,OPN1SW
ENSG00000188910,286.5,GJB3
ENSG00000167619,286.5,TMEM145
ENSG00000105642,286.5,KCNN1
ENSG00000100867,286.25,DHRS2
ENSG00000151704,284.5,KCNJ1
ENSG00000101542,275.25,CDH20
ENSG00000170017,269.75,ALCAM
ENSG00000162728,267.5,KCNJ9
ENSG00000008277,266.0,ADAM22
ENSG00000153233,266.0,PTPRR
ENSG00000150625,265.75,GPM6A
ENSG00000162496,265.5,DHRS3
ENSG00000102934,264.0,PLLP
ENSG00000177098,264.0,SCN4B
ENSG00000183423,263.75,LRIT3
ENSG00000226887,263.75,ERVMER34-1
ENSG00000198216,263.75,CACNA1E
ENSG00000141574,263.5,SECTM1
ENSG00000167889,263.5,MGAT5B
ENSG00000006210,262.0,CX3CL1
ENSG00000143858,262.0,SYT2
ENSG00000172139,262.0,SLC9C1
ENSG00000184292,262.0,TACSTD2
ENSG00000099365,261.75,STX1B
ENSG00000182324,261.75,KCNJ14
ENSG00000023171,261.5,GRAMD1B
ENSG00000134020,252.5,PEBP4
ENSG00000140015,252.5,KCNH5
ENSG00000129159,252.5,KCNC1
ENSG00000109956,252.5,B3GAT1
ENSG00000075429,252.5,CACNG5
ENSG00000165799,250.5,RNASE7
ENSG00000196778,250.5,OR52K1
ENSG00000166676,250.5,TVP23A
ENSG00000183379,250.5,SYNDIG1L
ENSG00000165959,250.25,CLMN
ENSG00000128596,248.5,CCDC136
ENSG00000081138,246.75,CDH7
ENSG00000152822,243.25,GRM1
ENSG00000160593,243.0,JAML
ENSG00000189068,243.0,VSTM1
ENSG00000166523,243.0,CLEC4E
ENSG00000118640,243.0,VAMP8
ENSG00000106128,241.25,GHRHR
ENSG00000176695,241.25,OR4F17
ENSG00000111452,241.0,ADGRD1
ENSG00000185818,241.0,NAT8L
ENSG00000167654,241.0,ATCAY
ENSG00000133321,241.0,PLAAT4
ENSG00000166961,241.0,MS4A15
ENSG00000177807,241.0,KCNJ10
ENSG00000178623,241.0,GPR35
ENSG00000134955,241.0,SLC37A2
ENSG00000169427,241.0,KCNK9
ENSG00000161944,241.0,ASGR2
ENSG00000130208,241.0,APOC1
ENSG00000183960,241.0,KCNH8
ENSG00000182183,241.0,SHISAL2A
ENSG00000162877,241.0,PM20D1
ENSG00000101489,241.0,CELF4
ENSG00000179913,241.0,B3GNT3
ENSG00000105352,241.0,CEACAM4
ENSG00000188338,241.0,SLC38A3
ENSG00000151812,239.25,SLC35F4
ENSG00000197706,239.25,OR6C74
ENSG00000204642,239.0,HLA-F
ENSG00000146904,239.0,EPHA1
ENSG00000184922,239.0,FMNL1
ENSG00000124249,239.0,KCNK15
ENSG00000095932,239.0,SMIM24
ENSG00000079385,239.0,CEACAM1
ENSG00000169876,233.5,MUC17
ENSG00000163873,233.5,GRIK3
ENSG00000120457,233.5,KCNJ5
ENSG00000166342,233.5,NETO1
ENSG00000171310,231.75,CHST11
ENSG00000127325,231.75,BEST3
ENSG00000198049,231.75,AVPR1B
ENSG00000151834,231.75,GABRA2
ENSG00000165548,231.75,TMEM63C
ENSG00000109163,231.75,GNRHR
ENSG00000143297,231.75,FCRL5
ENSG00000121871,231.75,SLITRK3
ENSG00000196581,229.75,AJAP1
ENSG00000171903,229.75,CYP4F11
ENSG00000170382,229.75,LRRN2
ENSG00000185942,229.75,NKAIN3
ENSG00000197177,229.75,ADGRA1
ENSG00000142512,229.75,SIGLEC10
ENSG00000055957,229.75,ITIH1
ENSG00000110079,229.75,MS4A4A
ENSG00000151490,229.75,PTPRO
ENSG00000075035,229.75,WSCD2
ENSG00000180616,229.75,SSTR2
ENSG00000143195,229.75,ILDR2
ENSG00000010379,229.75,SLC6A13
ENSG00000004468,229.75,CD38
ENSG00000135973,227.75,GPR45
ENSG00000185101,227.75,ANO9
ENSG00000175229,227.75,GAL3ST3
ENSG00000039987,227.75,BEST2
ENSG00000132874,227.75,SLC14A2
ENSG00000180638,227.75,SLC47A2
ENSG00000171631,227.75,P2RY6
ENSG00000176269,227.75,OR4F21
ENSG00000143199,227.75,ADCY10
ENSG00000152672,227.75,CLEC4F
ENSG00000105641,227.75,SLC5A5
ENSG00000111729,227.75,CLEC4A
ENSG00000162399,227.75,BSND
ENSG00000021461,227.75,CYP3A43
ENSG00000261949,227.75,GFY
ENSG00000164935,227.75,DCSTAMP
ENSG00000126861,224.0,OMG
ENSG00000056291,222.25,NPFFR2
ENSG00000205045,222.0,SLFN12L
ENSG00000244476,220.5,ERVFRD-1
ENSG00000007908,220.5,SELE
ENSG00000152315,220.5,KCNK13
ENSG00000101187,220.5,SLCO4A1
ENSG00000143469,220.5,SYT14
ENSG00000165325,220.5,DEUP1
ENSG00000188517,220.5,COL25A1
ENSG00000198829,220.5,SUCNR1
ENSG00000170929,220.25,OR1M1
ENSG00000144668,220.0,ITGA9
ENSG00000156886,218.5,ITGAD
ENSG00000182674,218.5,KCNB2
ENSG00000128040,218.5,SPINK2
ENSG00000139044,218.5,B4GALNT3
ENSG00000186439,218.5,TRDN
ENSG00000066813,218.5,ACSM2B
ENSG00000095970,218.5,TREM2
ENSG00000158473,218.5,CD1D
