"","Name","Score","gene_names"
"ENSG00000142235","ENSG00000142235",8.90690704914374e-07,"LMTK3"
"ENSG00000196218","ENSG00000196218",8.51952992880826e-06,"RYR1"
"ENSG00000172461","ENSG00000172461",8.51952992880826e-06,"FUT9"
"ENSG00000181790","ENSG00000181790",1.32933473001068e-05,"ADGRB1"
"ENSG00000132681","ENSG00000132681",2.24795884017981e-05,"ATP1A4"
"ENSG00000128596","ENSG00000128596",4.66136745099685e-05,"CCDC136"
"ENSG00000154118","ENSG00000154118",5.69364438068501e-05,"JPH3"
"ENSG00000121871","ENSG00000121871",7.55206322426701e-05,"SLITRK3"
"ENSG00000101542","ENSG00000101542",8.63575868043475e-05,"CDH20"
"ENSG00000080854","ENSG00000080854",9.02165547410569e-05,"IGSF9B"
"ENSG00000118777","ENSG00000118777",9.83210126588392e-05,"ABCG2"
"ENSG00000205277","ENSG00000205277",0.000106959622306127,"MUC12"
"ENSG00000105894","ENSG00000105894",0.000120833988062365,"PTN"
"ENSG00000132164","ENSG00000132164",0.000177762815522411,"SLC6A11"
"ENSG00000170419","ENSG00000170419",0.000212693556801709,"VSTM2A"
"ENSG00000141837","ENSG00000141837",0.000212693556801709,"CACNA1A"
"ENSG00000184697","ENSG00000184697",0.000214601209887126,"CLDN6"
"ENSG00000143226","ENSG00000143226",0.000214601209887126,"FCGR2A"
"ENSG00000081138","ENSG00000081138",0.000261131890395818,"CDH7"
"ENSG00000185818","ENSG00000185818",0.000317407444850432,"NAT8L"
"ENSG00000084628","ENSG00000084628",0.000359673414428769,"NKAIN1"
"ENSG00000158955","ENSG00000158955",0.000452800956311489,"WNT9B"
"ENSG00000177807","ENSG00000177807",0.000456721308376601,"KCNJ10"
"ENSG00000110148","ENSG00000110148",0.00048188707827634,"CCKBR"
"ENSG00000130208","ENSG00000130208",0.000556681690571484,"APOC1"
"ENSG00000171951","ENSG00000171951",0.000604201487451996,"SCG2"
"ENSG00000203747","ENSG00000203747",0.000655245237533154,"FCGR3A"
"ENSG00000198019","ENSG00000198019",0.000854973373077672,"FCGR1B"
"ENSG00000188338","ENSG00000188338",0.000933406251778606,"SLC38A3"
"ENSG00000018236","ENSG00000018236",0.000979491819278755,"CNTN1"
"ENSG00000167654","ENSG00000167654",0.00100316427014457,"ATCAY"
"ENSG00000163377","ENSG00000163377",0.00115433515356903,"TAFA4"
"ENSG00000162738","ENSG00000162738",0.00118110123404111,"VANGL2"
"ENSG00000172116","ENSG00000172116",0.00135160325191287,"CD8B"
"ENSG00000100678","ENSG00000100678",0.001412340091582,"SLC8A3"
"ENSG00000109956","ENSG00000109956",0.00144346487585691,"B3GAT1"
"ENSG00000018625","ENSG00000018625",0.00150725490343898,"ATP1A2"
"ENSG00000204655","ENSG00000204655",0.00174728667343096,"MOG"
"ENSG00000042980","ENSG00000042980",0.00185848565788358,"ADAM28"
"ENSG00000226887","ENSG00000226887",0.00189670519261871,"ERVMER34-1"
"ENSG00000095970","ENSG00000095970",0.00213854838249941,"TREM2"
"ENSG00000175928","ENSG00000175928",0.00224636627440456,"LRRN1"
"ENSG00000167889","ENSG00000167889",0.002402813553344,"MGAT5B"
"ENSG00000143195","ENSG00000143195",0.00254377311069418,"ILDR2"
"ENSG00000153012","ENSG00000153012",0.00259210949127558,"LGI2"
"ENSG00000104888","ENSG00000104888",0.00260263708463968,"SLC17A7"
"ENSG00000158457","ENSG00000158457",0.002690845534388,"TSPAN33"
"ENSG00000203985","ENSG00000203985",0.00274125813261914,"LDLRAD1"
"ENSG00000185942","ENSG00000185942",0.00289675248290861,"NKAIN3"
"ENSG00000165548","ENSG00000165548",0.0029500246969793,"TMEM63C"
"ENSG00000149294","ENSG00000149294",0.0029500246969793,"NCAM1"
"ENSG00000007062","ENSG00000007062",0.00300402832465052,"PROM1"
"ENSG00000166862","ENSG00000166862",0.00300402832465052,"CACNG2"
"ENSG00000164796","ENSG00000164796",0.00305877003022573,"CSMD3"
"ENSG00000177098","ENSG00000177098",0.00311425650823197,"SCN4B"
"ENSG00000154080","ENSG00000154080",0.00322749071076374,"CHST9"
"ENSG00000151320","ENSG00000151320",0.00328525197546137,"AKAP6"
"ENSG00000014257","ENSG00000014257",0.00340309690882734,"ACP3"
"ENSG00000196660","ENSG00000196660",0.00340309690882734,"SLC30A10"
"ENSG00000145416","ENSG00000145416",0.00352408416957254,"MARCHF1"
"ENSG00000204577","ENSG00000204577",0.0036658298452364,"LILRB3"
"ENSG00000105699","ENSG00000105699",0.00377570763530745,"LSR"
"ENSG00000167664","ENSG00000167664",0.00379769330840446,"TMIGD2"
"ENSG00000008277","ENSG00000008277",0.00384066455698591,"ADAM22"
"ENSG00000169894","ENSG00000169894",0.00397308917289072,"MUC3A"
"ENSG00000165323","ENSG00000165323",0.00431913115884739,"FAT3"
"ENSG00000170382","ENSG00000170382",0.00439096548049662,"LRRN2"
"ENSG00000120251","ENSG00000120251",0.00453731850069234,"GRIA2"
"ENSG00000130433","ENSG00000130433",0.00461185194835486,"CACNG6"
"ENSG00000167600","ENSG00000167600",0.00476366981827627,"CYP2S1"
"ENSG00000006283","ENSG00000006283",0.00476366981827627,"CACNA1G"
"ENSG00000081237","ENSG00000081237",0.00476958127330068,"PTPRC"
"ENSG00000196376","ENSG00000196376",0.00484096917099279,"SLC35F1"
"ENSG00000167619","ENSG00000167619",0.00484096917099279,"TMEM145"
"ENSG00000118640","ENSG00000118640",0.00499838626475851,"VAMP8"
"ENSG00000112053","ENSG00000112053",0.00524167144140983,"SLC26A8"
"ENSG00000005844","ENSG00000005844",0.00527953373195225,"ITGAL"
"ENSG00000152315","ENSG00000152315",0.00532470620550516,"KCNK13"
"ENSG00000163630","ENSG00000163630",0.00566674910692282,"SYNPR"
