,Name,Score,gene_names,DESeq2_Appeared,DESeq2_Validated,Wilcox_Appeared,Wilcox_Validated,uniprot,Prot_Evidence
ENSG00000173705,ENSG00000173705,1.00284607887656e-07,SUSD5,TRUE,TRUE,TRUE,TRUE,O60279,FALSE
ENSG00000084453,ENSG00000084453,5.77380272999641e-07,SLCO1A2,TRUE,TRUE,TRUE,TRUE,P46721,FALSE
ENSG00000126709,ENSG00000126709,9.81436862876109e-07,IFI6,TRUE,TRUE,TRUE,TRUE,P09912,FALSE
ENSG00000112414,ENSG00000112414,1.46054570576546e-06,ADGRG6,TRUE,TRUE,TRUE,TRUE,Q86SQ4,FALSE
ENSG00000175471,ENSG00000175471,5.84026079557755e-06,MCTP1,FALSE,TRUE,TRUE,TRUE,Q6DN14,FALSE
ENSG00000142235,ENSG00000142235,9.38611493432179e-06,LMTK3,TRUE,TRUE,TRUE,TRUE,Q96Q04,FALSE
ENSG00000133106,ENSG00000133106,3.10891372205625e-05,EPSTI1,TRUE,TRUE,TRUE,TRUE,Q96J88,FALSE
ENSG00000118777,ENSG00000118777,4.29442988005368e-05,ABCG2,TRUE,TRUE,TRUE,TRUE,Q9UNQ0,TRUE
ENSG00000070526,ENSG00000070526,5.00059574101494e-05,ST6GALNAC1,TRUE,TRUE,TRUE,TRUE,Q9NSC7,FALSE
ENSG00000110324,ENSG00000110324,9.22257283981616e-05,IL10RA,TRUE,TRUE,TRUE,TRUE,Q13651,FALSE
ENSG00000149177,ENSG00000149177,9.32597776282293e-05,PTPRJ,FALSE,TRUE,TRUE,TRUE,Q12913,FALSE
ENSG00000170456,ENSG00000170456,9.32597776282293e-05,DENND5B,FALSE,FALSE,TRUE,TRUE,Q6ZUT9,FALSE
ENSG00000163406,ENSG00000163406,0.000103405811547962,SLC15A2,TRUE,TRUE,TRUE,TRUE,Q16348,FALSE
ENSG00000167889,ENSG00000167889,0.000245858748394183,MGAT5B,FALSE,TRUE,TRUE,TRUE,Q3V5L5,FALSE
ENSG00000198019,ENSG00000198019,0.000245858748394183,FCGR1BP,TRUE,TRUE,FALSE,FALSE,Q92637,FALSE
ENSG00000197093,ENSG00000197093,0.000251757480687118,GAL3ST4,TRUE,TRUE,TRUE,TRUE,Q96RP7,FALSE
ENSG00000121895,ENSG00000121895,0.000272795151905606,TMEM156,FALSE,TRUE,TRUE,TRUE,Q8N614,FALSE
ENSG00000171951,ENSG00000171951,0.000330634931379129,SCG2,TRUE,TRUE,FALSE,FALSE,P13521,FALSE
ENSG00000165949,ENSG00000165949,0.000470574095943808,IFI27,TRUE,TRUE,TRUE,TRUE,P40305,FALSE
ENSG00000096996,ENSG00000096996,0.000474586134646969,IL12RB1,TRUE,TRUE,TRUE,TRUE,P42701,FALSE
ENSG00000129244,ENSG00000129244,0.000524139578643246,ATP1B2,TRUE,TRUE,FALSE,FALSE,P14415,TRUE
ENSG00000197822,ENSG00000197822,0.000524139578643246,OCLN,FALSE,TRUE,TRUE,TRUE,Q16625,FALSE
ENSG00000122679,ENSG00000122679,0.000560670794586569,RAMP3,TRUE,TRUE,FALSE,TRUE,O60896,FALSE
ENSG00000099219,ENSG00000099219,0.000580572513689926,ERMP1,FALSE,TRUE,TRUE,TRUE,Q7Z2K6,FALSE
ENSG00000166523,ENSG00000166523,0.00061328133017473,CLEC4E,TRUE,TRUE,FALSE,TRUE,Q9ULY5,FALSE
ENSG00000123104,ENSG00000123104,0.000639870038054477,ITPR2,FALSE,TRUE,TRUE,TRUE,Q14571,FALSE
ENSG00000163492,ENSG00000163492,0.000639870038054477,CCDC141,TRUE,TRUE,FALSE,FALSE,Q6ZP82,FALSE
ENSG00000118640,ENSG00000118640,0.000729520003655764,VAMP8,TRUE,TRUE,FALSE,TRUE,Q9BV40,FALSE
ENSG00000008277,ENSG00000008277,0.000780361131948532,ADAM22,TRUE,TRUE,TRUE,TRUE,Q9P0K1,FALSE
ENSG00000033627,ENSG00000033627,0.000905648805459418,ATP6V0A1,FALSE,FALSE,TRUE,TRUE,Q93050,TRUE
ENSG00000168329,ENSG00000168329,0.000905648805459418,CX3CR1,TRUE,TRUE,FALSE,FALSE,P49238,FALSE
ENSG00000135052,ENSG00000135052,0.000979226368328212,GOLM1,FALSE,FALSE,TRUE,TRUE,Q8NBJ4,FALSE
ENSG00000143126,ENSG00000143126,0.000979457088605261,CELSR2,TRUE,TRUE,FALSE,FALSE,Q9HCU4,FALSE
ENSG00000088053,ENSG00000088053,0.000995003722913322,GP6,TRUE,TRUE,FALSE,FALSE,Q9HCN6,FALSE
