"","Name","Score","gene_names"
"1","ENSG00000143226",2.36180489129793e-05,"FCGR2A"
"2","ENSG00000203747",7.23302747959991e-05,"FCGR3A"
"3","ENSG00000198019",9.44721956519172e-05,"FCGR1B"
"4","ENSG00000104888",0.000289321099183996,"SLC17A7"
"5","ENSG00000171951",0.000478265490487831,"SCG2"
"6","ENSG00000081237",0.000532882228599096,"PTPRC"
"7","ENSG00000005844",0.000590451222824482,"ITGAL"
"8","ENSG00000142235",0.000714445979617623,"LMTK3"
"9","ENSG00000181790",0.000780871742185378,"ADGRB1"
"10","ENSG00000173705",0.000850249760867255,"SUSD5"
"11","ENSG00000172461",0.00107609735359762,"FUT9"
"12","ENSG00000169896",0.00115728439673599,"ITGAM"
"13","ENSG00000205277",0.00124142369598847,"MUC12"
"14","ENSG00000124731",0.00151155513043068,"TREM1"
"15","ENSG00000169181",0.00160750345413965,"GSG1L"
"16","ENSG00000196218",0.00170640403396276,"RYR1"
"17","ENSG00000110436",0.00213152891439638,"SLC1A2"
"18","ENSG00000197471",0.00236180489129793,"SPN"
"19","ENSG00000174123",0.00272936077750617,"TLR10"
"20","ENSG00000105609",0.00298915931554894,"LILRB5"
"21","ENSG00000018625",0.00343494998878143,"ATP1A2"
"22","ENSG00000188338",0.00369032014265301,"SLC38A3"
"23","ENSG00000258227",0.0038394090764162,"CLEC5A"
"24","ENSG00000086730",0.00531406100542034,"LAT2"
"25","ENSG00000198216",0.00585875225847593,"CACNA1E"
"26","ENSG00000132681",0.0062366410410836,"ATP1A4"
"27","ENSG00000163873",0.00686694772144873,"GRIK3"
"28","ENSG00000141837",0.00723302747959991,"CACNA1A"
"29","ENSG00000187474",0.00765224784780529,"FPR3"
"30","ENSG00000183166",0.00830322032096929,"CALN1"
"31","ENSG00000128596",0.00898076309916038,"CCDC136"
"32","ENSG00000126262",0.00921251520411899,"FFAR2"
"33","ENSG00000160886",0.00944721956519172,"LY6K"
"34","ENSG00000103056",0.00968487618237857,"SMPD3"
"35","ENSG00000134460",0.00992548505567955,"IL2RA"
"36","ENSG00000154118",0.00992548505567955,"JPH3"
"37","ENSG00000204577",0.0101690461850946,"LILRB3"
"38","ENSG00000078549",0.0102959931980019,"ADCYAP1R1"
"39","ENSG00000121871",0.0104155595706239,"SLITRK3"
"40","ENSG00000124215",0.0104155595706239,"CDH26"
"41","ENSG00000181785",0.0106650252122672,"OR5AS1"
"42","ENSG00000167619",0.0106650252122672,"TMEM145"
"43","ENSG00000110079",0.0109174431100247,"MS4A4A"
"44","ENSG00000167889",0.0111728132638963,"MGAT5B"
"45","ENSG00000163377",0.011431135673882,"TAFA4"
"46","ENSG00000171049",0.0116924103399818,"FPR2"
"47","ENSG00000135472",0.0122238164405239,"FAIM2"
"48","ENSG00000101542",0.0122238164405239,"CDH20"
"49","ENSG00000080854",0.0124939478749661,"IGSF9B"
"50","ENSG00000166928",0.0124939478749661,"MS4A14"
"51","ENSG00000167613",0.0127670315655224,"LAIR1"
"52","ENSG00000142185",0.0127670315655224,"TRPM2"
"53","ENSG00000118777",0.0130430675121928,"ABCG2"
"54","ENSG00000120251",0.0133220557149774,"GRIA2"
"55","ENSG00000166527",0.0136039961738761,"CLEC4D"
"56","ENSG00000268500",0.0141767338600158,"SIGLEC5"
"57","ENSG00000105383",0.0144675310872569,"CD33"
"58","ENSG00000254415",0.0144675310872569,"SIGLEC14"
"59","ENSG00000143195",0.0153576363056648,"ILDR2"
"60","ENSG00000178789",0.0153576363056648,"CD300LB"
"61","ENSG00000169403",0.0156602425573623,"PTAFR"
"62","ENSG00000197629",0.0169001901252938,"MPEG1"
"63","ENSG00000132164",0.0175378774459442,"SLC6A11"
"64","ENSG00000166927",0.0175378774459442,"MS4A7"
"65","ENSG00000137463",0.0178611494904406,"MGARP"
"66","ENSG00000142583",0.0181873737910511,"SLC2A5"
"67","ENSG00000203985",0.0185165503477758,"LDLRAD1"
"68","ENSG00000081138",0.0188486791606145,"CDH7"
"69","ENSG00000164604",0.0188486791606145,"GPR85"
"70","ENSG00000170419",0.0191837602295674,"VSTM2A"
"71","ENSG00000142512",0.0195217935546345,"SIGLEC10"
"72","ENSG00000131042",0.0195217935546345,"LILRB2"
"73","ENSG00000167654",0.0205536070665202,"ATCAY"
"74","ENSG00000185862",0.0216119908834331,"EVI2B"
"75","ENSG00000242574",0.021970690001299,"HLA-DMB"
"76","ENSG00000172116",0.0226969450053731,"CD8B"
"77","ENSG00000075035",0.0230645008915813,"WSCD2"
"78","ENSG00000198822",0.0234350090339037,"GRM3"
"79","ENSG00000185818",0.0234350090339037,"NAT8L"
"80","ENSG00000177807",0.0238084694323402,"KCNJ10"
"81","ENSG00000160593",0.0238084694323402,"JAML"
"82","ENSG00000185885",0.0241848820868908,"IFITM1"
