,baseMean,log2FoldChange,sigAdj,hgncSymbol,appCount,tissList
ENSG00000212135,198.643585342947,5.688533516087132,6.366345718181772,SNORD67,14,"['Cornea', 'Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Sciatic.nerve', 'Colon', 'Vessel', 'Peripheral.blood', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000140807,97.1904266630158,6.963796715775727,12.349851572315348,NKD1,13,"['Heart', 'Liver', 'Umbilical.vein', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Peripheral.blood', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000018625,1266.40874418668,8.348769604143994,10.412709063102149,ATP1A2,13,"['Cornea', 'Heart', 'Liver', 'Umbilical.vein', 'Colon', 'Vessel', 'Foreskin', 'Peripheral.blood', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000262118,35.5581834007331,5.893068312161507,9.616378475731247,MTCO1P28,13,"['Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000235110,8.26022645492119,8.807094504546479,7.895698442226007,RPS17P10,13,"['Cornea', 'Liver', 'Umbilical.vein', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Peripheral.blood', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000087258,72.6012482942585,5.106844162228787,7.888404132092755,GNAO1,13,"['Heart', 'Liver', 'Umbilical.vein', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Peripheral.blood', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000116254,31.0497822699164,3.8523332540798854,7.631891243594262,CHD5,13,"['Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000163873,19.324426816569,8.291931854287435,6.209289121259416,GRIK3,13,"['Heart', 'Liver', 'Umbilical.vein', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Peripheral.blood', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000078549,100.594705458111,5.537211172635791,6.064843711667108,ADCYAP1R1,13,"['Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Peripheral.blood', 'Lung', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000232393,120.104219856838,3.618707463943291,4.229889039040872,RPL5P6,13,"['Cornea', 'Heart', 'Liver', 'Umbilical.vein', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000266529,4.75816989257462,9.276305206079819,3.379655474544007,MTCYBP13,13,"['Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000143226,5195.71720890606,8.852445232296372,18.09605841646945,FCGR2A,12,"['Heart', 'Liver', 'Umbilical.vein', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000196218,116.629580793884,6.775039130418506,11.47386247941157,RYR1,12,"['Heart', 'Liver', 'Umbilical.vein', 'Sciatic.nerve', 'Colon', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
