,baseMean,log2FoldChange,sigAdj,hgncSymbol,appCount,tissList
ENSG00000231882,3.21119963555261,-22.92387518154194,28.389366729109952,F10-AS1,12,"['Cornea', 'Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Vessel', 'Foreskin', 'Peripheral.blood', 'Lung', 'Skin', 'Kidney', 'Intestine']"
ENSG00000183850,24.1463639843745,-2.9340102616292074,5.759155000939644,ZNF730,12,"['Cornea', 'Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Colon', 'Vessel', 'Foreskin', 'Lung', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000102098,54.2788517257956,-2.0135049450822513,4.5510037096461575,SCML2,12,"['Cornea', 'Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine', 'Tonsil']"
ENSG00000189056,2254.75939498468,-4.672205825110694,8.136011239050053,RELN,10,"['Cornea', 'Liver', 'Lymph.node', 'Vessel', 'Foreskin', 'Peripheral.blood', 'Lung', 'Skin', 'Intestine', 'Tonsil']"
ENSG00000130600,5442.7960299184,-5.980481632212687,9.59403219749914,H19,9,"['Cornea', 'Heart', 'Liver', 'Lymph.node', 'Vessel', 'Lung', 'Skin', 'Kidney', 'Intestine']"
ENSG00000245694,268.159341235028,-2.556466069301688,8.853215263582568,LOC101927480,9,"['Cornea', 'Heart', 'Umbilical.vein', 'Lymph.node', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney']"
ENSG00000222276,2.62252143804604,-5.092484903285989,5.668941553080606,RNU2-33P,9,"['Cornea', 'Heart', 'Umbilical.vein', 'Lymph.node', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney']"
ENSG00000214760,181.50570091293,-2.8112638913729993,4.9946861047549636,RPL21P1,9,"['Cornea', 'Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Vessel', 'Foreskin', 'Lung', 'Kidney']"
ENSG00000214274,65.6273577659373,-1.8524777100500254,4.6768711773374685,ANG,9,"['Cornea', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Vessel', 'Foreskin', 'Skin', 'Kidney', 'Intestine']"
ENSG00000216480,50.9498615323584,-3.9835972392148182,4.39576426233223,RPL21P69,9,"['Cornea', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Vessel', 'Foreskin', 'Peripheral.blood', 'Lung', 'Kidney']"
ENSG00000233254,634.195391011243,-2.2772022697888845,4.223678355782675,RPL21P134,9,"['Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Sciatic.nerve', 'Foreskin', 'Lung', 'Kidney', 'Intestine']"
ENSG00000187546,42.3529260939581,-3.110094648186226,3.535447135473126,AGMO,9,"['Cornea', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Colon', 'Vessel', 'Foreskin', 'Skin', 'Kidney']"
ENSG00000228053,386.848356785018,-3.2612623552990665,9.506138004263844,RPL21P87,8,"['Heart', 'Liver', 'Umbilical.vein', 'Lymph.node', 'Vessel', 'Foreskin', 'Lung', 'Kidney']"
ENSG00000187134,665.548865549017,-3.7259943434146026,6.660499308752835,AKR1C1,8,"['Cornea', 'Liver', 'Lymph.node', 'Vessel', 'Foreskin', 'Skin', 'Kidney', 'Intestine']"
