,baseMean,log2FoldChange,sigAdj,hgncSymbol,appCount,tissList
ENSG00000140807,186.293586666935,6.246783536977513,10.232675990018809,NKD1,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000143226,10935.9895173186,7.398591564471418,9.150092850623475,FCGR2A,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000087258,140.717671336348,3.7412631654344506,5.4053746743027,GNAO1,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000205277,169.944674918649,4.906259040833391,5.277732864261178,MUC12,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000142609,12.9946413454873,4.5767782121039815,5.1889789804751425,CFAP74,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000152463,25.0222818789385,3.8324120660889243,5.1025119673157135,OLAH,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000181790,73.8982126704789,4.207996003660787,4.790632430881471,ADGRB1,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000244756,11.2288021151518,7.289723348428337,4.514378088781894,RPL37P5,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000104888,113.642386375823,3.5669171748439754,4.038669129140881,SLC17A7,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000104112,126.370681056585,3.331546347542882,3.0499770123379455,SCG3,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000206588,98308.8854166436,9.739259341427223,15.59339191675634,RNU1-28P,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000206596,122977.403534935,9.684693103029256,15.035640616202693,RNU1-27P,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000166928,12.4494767228821,13.809133582836644,13.393543043641452,MS4A14,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000258227,24.0064287216346,13.523615929043913,12.183041966499916,CLEC5A,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000244244,14.2680945662492,16.29486875546911,11.900816593585347,RPS3AP42,6,"['Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000203747,307.443633809874,10.141357426050496,10.220216184926384,FCGR3A,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000198019,101.831448271111,9.572357851144673,8.904023497387124,FCGR1B,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000178789,9.52579785275307,11.733708870452721,8.165040057126328,CD300LB,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000166527,4.57347100603462,11.554790383389497,8.039013667064259,CLEC4D,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000081237,525.71863069672,6.208180223070012,7.906573495928676,PTPRC,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000262118,71.5690904761549,5.571890130296296,7.678721800580824,MTCO1P28,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000207445,3842.35036029478,6.0764450757524555,7.596136609792012,SNORD15B,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000162738,124.289171874331,5.756992333754315,7.323160984286044,VANGL2,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000173705,423.691965611024,2.4988079928420217,7.2239411575411365,SUSD5,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000197629,180.815281419713,7.718080036920605,6.7058797736900955,MPEG1,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000268500,48.7787032519224,5.088781098935498,6.505134390104861,SIGLEC5,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000142235,35.3941306458189,3.528383729833672,6.353789735678131,LMTK3,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000142347,252.229915789705,3.2022297109225413,6.085861715011087,MYO1F,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000171951,143.418222198847,3.9796652163598405,5.99559841486435,SCG2,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000172461,71.6268498039946,9.173215622818768,5.883473141189565,FUT9,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000169896,136.38902325999,5.248613074181876,5.750962162891498,ITGAM,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000116254,53.5548325979857,3.1738476843878654,5.698908823739871,CHD5,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000185811,167.306886388723,6.436901303158602,5.5158681598323085,IKZF1,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000005844,102.796817183927,4.668871886402443,5.415615449583204,ITGAL,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000272055,201.142415460383,4.290728332129114,5.2394271304283055,RNU6-6P,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000168071,139.471771748921,2.5129774999560635,5.229164781226875,CCDC88B,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000200879,1293.24370685074,4.3703080060859385,5.224179374819511,SNORD14E,6,"['Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000233158,9.83603917866903,7.133795706968679,5.1222235168421495,RPS24P6,6,"['Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000239998,34.8206837981166,5.788613764436657,5.049667371715468,LILRA2,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000183166,51.6952933649061,6.505383069966226,4.825217754306217,CALN1,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000150672,166.477334666816,2.861022151691589,4.751544543478747,DLG2,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000206975,36.7747626348375,4.077136024779947,4.600051580317432,RNU6-13P,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000128596,89.1626146916561,2.2829741378508017,4.404014361131131,CCDC136,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000206965,119.06088250512,3.2425661627275666,4.33474513655123,RNU6-5P,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000225196,5.42657484327911,9.440527316090089,4.332971703873249,RPL10P17,6,"['Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000086730,160.18116479295,2.6410285929466832,4.226328077474622,LAT2,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000264316,24.8877408656544,5.252721494409745,4.147106873512328,MTCO3P13,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000105784,131.833486039898,2.430028847856547,4.053576309211459,RUNDC3B,6,"['Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000204577,51.4103648876032,2.8718794711954736,3.950852753483687,LILRB3,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000169181,32.8653783132333,4.317714561207613,3.8948692904599445,GSG1L,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000187116,26.4578877207486,4.954314082737731,3.7173371971020184,LILRA5,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000074706,71.8814433235247,3.4472778706831217,3.671170360595639,IPCEF1,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000167895,101.728309837517,3.2691410466557698,3.6354453729137197,TMC8,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000230916,327.690621169849,3.9011673562177216,3.571511900889608,MTCO1P53,6,"['Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000230461,27.2867353245576,3.6577676350301433,3.5076702439404186,PROX1-AS1,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000211772,382.236358565433,3.288215174647768,3.4506219421583886,TRBC2,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000196361,36.7811504825728,3.67249274070444,3.399596709794769,ELAVL3,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000207334,36.4376101067181,3.64421515520432,3.395762889407768,RNU6-12P,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000163377,6.25710101741353,3.698688083033377,3.0679049852447364,TAFA4,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000198010,22.6246772493017,3.9392732470182548,3.0080789267526016,DLGAP2,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000153563,18.4849848779411,3.500965564090132,2.947191041310979,CD8A,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000229183,9.67834116037976,3.443349192281323,2.9205945095414854,PGA4,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000078900,16.3795746086573,2.3677234865207515,2.891772111984158,TP73,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000206675,35.2567346865416,2.764350516205667,2.7702779221252403,RNU6-32P,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000237549,12.6837953903121,6.8428067169341835,2.7263041743747514,RPS6P3,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000223489,3.37936486518972,3.30770485671737,2.724727698847038,NEFHP1,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000154118,50.6738162082853,2.3966418116927835,2.7237717098652965,JPH3,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000172116,13.4152115331611,3.76480999616194,2.57916707253773,CD8B,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000232792,10.1069494309679,4.333789197667835,2.5430189542090145,FTH1P25,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000198574,7.73988380801906,3.2715954627112986,2.4724056891513917,SH2D1B,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000104814,32.8067303242232,2.6561799209764416,2.4136121174724807,MAP4K1,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000207524,151.44638662054,2.3002905740491353,2.398711100071454,RNU6-33P,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000166473,12.4587402884805,2.82316412070413,2.388427074772111,PKD1L2,6,"['Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000202337,34.5242067502493,2.19541224559184,2.3469699132983597,RNU6-8,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000211751,37.6276604378778,2.573401073754003,2.0260717209058776,TRBC1,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000126856,5.42897362206588,2.78518601049915,1.990018993534483,PRDM7,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000104970,4.83190068083741,2.71950789408888,1.782884777143179,KIR3DX1,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000092054,368.917697506002,15.242159884294187,21.78978482650563,MYH7,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000238149,10.3394458285967,8.491986228899155,19.99180452892204,RPS15AP31,5,"['Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000237353,6.36657260140466,8.597436379260802,18.92575156838219,PATE4,5,"['Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000257662,9.05268303960675,15.859326636871298,18.877211295702846,EIF4A1P12,5,"['Liver', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000201104,41.5494691016729,10.366889947839375,12.94388015774598,RNU6-11P,5,"['Heart', 'Liver', 'Vessel', 'Lung', 'Intestine']"
ENSG00000011600,164.009136190756,14.169170213853103,11.0587746590056,TYROBP,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000124731,31.9006356127026,11.28837848746638,10.951422827442233,TREM1,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000236913,24.387419379831,9.04429155854664,10.866146949262994,RPS13P3,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000143355,25.3879955452565,10.083159418997335,10.147638045009769,LHX9,5,"['Heart', 'Colon', 'Lung', 'Kidney', 'Intestine']"
ENSG00000164488,38.9781377060742,14.026930000313195,9.917882753933725,DACT2,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000166523,39.7747829904817,10.066991048329376,7.764951421073812,CLEC4E,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000162711,13.9354416795905,5.090371143902674,7.5098661539918705,NLRP3,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000196218,200.476728773516,5.707646113243617,7.484890396970551,RYR1,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000275302,85.9763005230323,11.882948614873758,7.191162219590761,CCL4,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000163421,22.1455709805721,12.243785976283174,7.168664194035239,PROK2,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000110934,163.51090012863,6.832631859096722,6.999394270206352,BIN2,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000142185,137.469398383602,4.870881814115627,6.824517150366238,TRPM2,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000084710,208.841055707548,2.8693545077765243,6.7126933169723655,EFR3B,5,"['Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000227191,34.8378809592492,11.619569066008465,6.706688220952286,TRGC2,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000170381,40.9225008316046,3.4333644330630895,6.69239468865121,SEMA3E,5,"['Heart', 'Liver', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000171246,144.209535681882,3.712087604097442,6.643377963821569,NPTX1,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000166927,80.8400688472492,9.795089493331494,6.603820747604364,MS4A7,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000110436,1589.37682684232,5.781634217807134,6.599886331783665,SLC1A2,5,"['Heart', 'Colon', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000168743,309.382767693942,5.42164143987146,6.585853842219509,NPNT,5,"['Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
