,baseMean,log2FoldChange,sigAdj,hgncSymbol,appCount,tissList
ENSG00000183850,20.1258691560125,-2.2608204954141984,3.8641470509204923,ZNF730,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000102098,59.7100462998823,-1.6481283009503915,2.8933385197282355,SCML2,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000282301,2.99732396334789,-23.617579832329078,9.250754958525679,CYP3A7-CYP3A51P,5,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney']"
ENSG00000239374,134.60997035856,-2.644381075758524,4.528558764930789,RPL21P105,5,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney']"
ENSG00000266916,12.9208527838641,-2.280347898952666,3.8918824221671158,ZNF793-AS1,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000230787,18.7283614810118,-2.1727400678647397,3.629994608350313,PSAT1P3,5,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney']"
ENSG00000214391,3713.13256694946,-1.839623196877318,3.2791507402809765,TUBAP2,5,"['Heart', 'Liver', 'Lung', 'Kidney', 'Intestine']"
ENSG00000233254,815.758217802466,-2.016141939151074,3.079725366897301,RPL21P134,5,"['Heart', 'Liver', 'Lung', 'Kidney', 'Intestine']"
ENSG00000243672,18.0714456903033,-3.1447912332695562,2.9610274926409113,RPS3AP40,5,"['Heart', 'Liver', 'Colon', 'Lung', 'Kidney']"
ENSG00000197496,315.122959670218,-1.2407868124725518,2.6700372657042672,SLC2A10,5,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney']"
ENSG00000213988,43.5499814387169,-1.6528830133703838,2.4277397342724063,ZNF90,5,"['Heart', 'Liver', 'Lung', 'Kidney', 'Intestine']"
ENSG00000249148,3.10666105961172,-2.2076324234141262,2.3905335367629723,LOC100288683,5,"['Heart', 'Liver', 'Colon', 'Lung', 'Kidney']"
ENSG00000242952,334.52314938593,-1.4429711088878518,2.0194382049201103,RPSAP3,5,"['Heart', 'Liver', 'Lung', 'Kidney', 'Intestine']"
ENSG00000196565,2155.99714838718,-13.6163898654206,9.100106557516845,HBG2,4,"['Heart', 'Liver', 'Lung', 'Kidney']"
ENSG00000272398,1152.99803997216,-4.290554073859685,8.248587290663897,CD24,4,"['Heart', 'Liver', 'Lung', 'Kidney']"
ENSG00000228053,550.465918059437,-3.370158102132687,7.899662164950952,RPL21P87,4,"['Heart', 'Liver', 'Lung', 'Kidney']"
ENSG00000176842,50.1769348301668,-2.955107537396425,7.4171514456932295,IRX5,4,"['Heart', 'Vessel', 'Lung', 'Kidney']"
ENSG00000164107,67.9575834817125,-4.19555020526443,7.3200979945881945,HAND2,4,"['Heart', 'Liver', 'Vessel', 'Lung']"
ENSG00000214760,189.933796564827,-3.43183091984994,6.545688401654157,RPL21P1,4,"['Heart', 'Liver', 'Lung', 'Kidney']"
ENSG00000245694,308.844771333743,-2.0862239013176973,6.347427520941746,LOC101927480,4,"['Heart', 'Vessel', 'Lung', 'Kidney']"
ENSG00000177508,155.310618905567,-3.200834892675802,5.929098244375752,IRX3,4,"['Heart', 'Vessel', 'Lung', 'Kidney']"
ENSG00000154864,2064.68198588927,-3.0627792426100875,5.9159405952340824,PIEZO2,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000107611,603.212022852041,-1.7336095814663475,4.680884149726297,CUBN,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000243711,120.72824252387,-3.205559982096487,4.42387675095046,RPL21P116,4,"['Heart', 'Liver', 'Lung', 'Kidney']"
ENSG00000244582,330.039677900036,-2.38817955363872,4.0764446441616995,RPL21P120,4,"['Heart', 'Liver', 'Lung', 'Kidney']"
ENSG00000216480,32.0655841458661,-2.402245827021565,4.050844508621326,RPL21P69,4,"['Heart', 'Liver', 'Lung', 'Kidney']"
ENSG00000115657,46.312396977216,-1.7570725601546724,3.990941912177112,ABCB6,4,"['Liver', 'Colon', 'Vessel', 'Intestine']"
