,baseMean,log2FoldChange,sigAdj,hgncSymbol,appCount,tissList
ENSG00000143226,10935.9895173186,7.398591564471418,9.150092850623475,FCGR2A,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000205277,169.944674918649,4.906259040833391,5.277732864261178,MUC12,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000181790,73.8982126704789,4.207996003660787,4.790632430881471,ADGRB1,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000104888,113.642386375823,3.5669171748439754,4.038669129140881,SLC17A7,7,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000166928,12.4494767228821,13.809133582836644,13.393543043641452,MS4A14,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000258227,24.0064287216346,13.523615929043913,12.183041966499916,CLEC5A,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000203747,307.443633809874,10.141357426050496,10.220216184926384,FCGR3A,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000198019,101.831448271111,9.572357851144673,8.904023497387124,FCGR1B,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000178789,9.52579785275307,11.733708870452721,8.165040057126328,CD300LB,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000166527,4.57347100603462,11.554790383389497,8.039013667064259,CLEC4D,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000081237,525.71863069672,6.208180223070012,7.906573495928676,PTPRC,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000162738,124.289171874331,5.756992333754315,7.323160984286044,VANGL2,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000173705,423.691965611024,2.4988079928420217,7.2239411575411365,SUSD5,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000197629,180.815281419713,7.718080036920605,6.7058797736900955,MPEG1,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000268500,48.7787032519224,5.088781098935498,6.505134390104861,SIGLEC5,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000142235,35.3941306458189,3.528383729833672,6.353789735678131,LMTK3,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000171951,143.418222198847,3.9796652163598405,5.99559841486435,SCG2,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000172461,71.6268498039946,9.173215622818768,5.883473141189565,FUT9,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000169896,136.38902325999,5.248613074181876,5.750962162891498,ITGAM,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000005844,102.796817183927,4.668871886402443,5.415615449583204,ITGAL,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000183166,51.6952933649061,6.505383069966226,4.825217754306217,CALN1,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000128596,89.1626146916561,2.2829741378508017,4.404014361131131,CCDC136,6,"['Heart', 'Liver', 'Colon', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000086730,160.18116479295,2.6410285929466832,4.226328077474622,LAT2,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000204577,51.4103648876032,2.8718794711954736,3.950852753483687,LILRB3,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000169181,32.8653783132333,4.317714561207613,3.8948692904599445,GSG1L,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000167895,101.728309837517,3.2691410466557698,3.6354453729137197,TMC8,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000163377,6.25710101741353,3.698688083033377,3.0679049852447364,TAFA4,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000153563,18.4849848779411,3.500965564090132,2.947191041310979,CD8A,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000154118,50.6738162082853,2.3966418116927835,2.7237717098652965,JPH3,6,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000172116,13.4152115331611,3.76480999616194,2.57916707253773,CD8B,6,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000011600,164.009136190756,14.169170213853103,11.0587746590056,TYROBP,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000124731,31.9006356127026,11.28837848746638,10.951422827442233,TREM1,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000166523,39.7747829904817,10.066991048329376,7.764951421073812,CLEC4E,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000196218,200.476728773516,5.707646113243617,7.484890396970551,RYR1,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000275302,85.9763005230323,11.882948614873758,7.191162219590761,CCL4,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000142185,137.469398383602,4.870881814115627,6.824517150366238,TRPM2,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000166927,80.8400688472492,9.795089493331494,6.603820747604364,MS4A7,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000110436,1589.37682684232,5.781634217807134,6.599886331783665,SLC1A2,5,"['Heart', 'Colon', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000276070,46.5923255155996,10.676313242551222,6.528852883086808,CCL4L2,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000197471,102.862655585609,5.654609508833606,6.406517982812718,SPN,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000096996,11.9238737816474,4.322159403475291,6.232022624490492,IL12RB1,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000131042,59.4090334237825,8.300479722788996,5.816189354040124,LILRB2,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000174123,37.0095589764049,5.737170141513228,5.615717536271467,TLR10,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000121895,152.992978478542,2.7633412525937215,5.418114729522431,TMEM156,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000105609,36.2491299305647,4.56882434413615,5.022562134967401,LILRB5,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000126262,17.4568311608516,7.829018604504472,4.952560617281755,FFAR2,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000160712,432.483829961815,1.8997378010169261,4.910294424026717,IL6R,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000149654,5.62510772655134,7.1009795064109325,4.773994459685072,CDH22,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000088053,13.7229962270327,3.20509198009193,4.667894209809611,GP6,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000188338,182.41626454337,4.362082827574538,4.464334577543905,SLC38A3,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000254415,76.0197817099117,3.33576490791794,4.458329573944581,SIGLEC14,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000183117,75.3727290519141,4.35797808915841,4.448161041008289,CSMD1,5,"['Liver', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000140749,92.0684897265781,3.001787528464296,4.390750145075126,IGSF6,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000198216,57.1100832753476,5.268911502987346,4.3855659257045065,CACNA1E,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000013725,10.3609109150386,6.868206109062572,4.332293082020707,CD6,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000105642,14.3417797897723,2.80571772828565,4.236034977720732,KCNN1,5,"['Heart', 'Liver', 'Vessel', 'Lung', 'Intestine']"
ENSG00000167600,75.9183420413036,2.4856544559366123,4.221460363661336,CYP2S1,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000084628,14.2943660003383,3.350581477362926,4.2065101238082345,NKAIN1,5,"['Heart', 'Liver', 'Colon', 'Vessel', 'Intestine']"
ENSG00000167619,11.9934659409737,2.7932554051482237,4.138560393736688,TMEM145,5,"['Heart', 'Liver', 'Colon', 'Vessel', 'Lung']"
ENSG00000111452,57.6754661449104,4.676667780855231,4.12275889826986,ADGRD1,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000103056,18.2932847883838,3.137159915553096,4.054248603492608,SMPD3,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000141837,97.6559021720091,2.4853597680406962,3.951256466824945,CACNA1A,5,"['Liver', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000100678,18.2886590970174,3.03947324980457,3.9013075769158583,SLC8A3,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000160593,76.9712315911937,4.036520296492521,3.8998809520379503,JAML,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000132681,17.7724805900122,4.482721312217678,3.6329746556466476,ATP1A4,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000167654,24.4096299923656,3.6019030556453857,3.4925593901634135,ATCAY,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000118640,408.084191082528,2.147298884395184,3.2297675317437324,VAMP8,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000185737,108.965314272626,2.942951715609462,3.0608427219214884,NRG3,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Kidney']"
ENSG00000124215,13.3939505348062,2.2289202745539898,3.046904643630666,CDH26,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000120903,3.67353333474971,3.3741907546556638,2.7723635388209233,CHRNA2,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000095932,137.916512036546,3.68836293633018,2.7345977881469654,SMIM24,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000187474,32.2196352255108,3.7619920921191223,2.694914137007331,FPR3,5,"['Colon', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000161944,63.5951741725206,3.4961125702811158,2.419672393923146,ASGR2,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000101542,31.9966818358389,2.479525964413444,2.339690021642162,CDH20,5,"['Liver', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000188910,6.7045608337263,2.713918007732814,2.326705944638504,GJB3,5,"['Heart', 'Liver', 'Vessel', 'Lung', 'Intestine']"
ENSG00000175356,70.8288021983028,1.9189073342327618,2.210334687769154,SCUBE2,5,"['Heart', 'Liver', 'Lung', 'Kidney', 'Intestine']"
ENSG00000026751,21.6804801265352,3.3655470484812957,2.1041883018925303,SLAMF7,5,"['Heart', 'Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000151704,100.869541633871,2.622446681897462,1.9041016901630605,KCNJ1,5,"['Heart', 'Liver', 'Colon', 'Lung', 'Intestine']"
ENSG00000064270,17.8125066308097,1.85885629476313,1.8110916989892332,ATP2C2,5,"['Heart', 'Liver', 'Colon', 'Vessel', 'Intestine']"
ENSG00000160886,145.978408581796,1.793561753730978,1.6053892435127277,LY6K,5,"['Heart', 'Liver', 'Colon', 'Kidney', 'Intestine']"
ENSG00000162747,177.501737612721,17.69052352131796,13.13095107519311,FCGR3B,4,"['Colon', 'Vessel', 'Lung', 'Intestine']"
ENSG00000134460,3.82757520420872,15.663607668072832,12.066582166708518,IL2RA,4,"['Colon', 'Vessel', 'Lung', 'Intestine']"
