,sigAdj,hgncSymbol,appCount,tissList
ENSG00000112414,3.341695115218809,ADGRG6,8,"['Cornea', 'Heart', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000138496,3.325412507471627,PARP9,8,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine']"
ENSG00000173193,3.038216203435697,PARP14,8,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine']"
ENSG00000185745,2.9991696064927083,IFIT1,8,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine']"
ENSG00000157601,2.87376739973026,MX1,8,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine']"
ENSG00000137959,2.817491268779183,IFI44L,8,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine']"
ENSG00000198846,2.6084366182035805,TOX,8,"['Cornea', 'Heart', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000101347,2.5702910764718796,SAMHD1,8,"['Cornea', 'Heart', 'Umbilical vein', 'Foreskin', 'Lung', 'Lymph node', 'Kidney', 'Intestine']"
ENSG00000111331,2.4329335986171587,OAS3,8,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Lymph node', 'Skin', 'Kidney']"
ENSG00000138642,5.034518950897051,HERC6,7,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Intestine']"
ENSG00000153944,4.015024788957634,MSI2,7,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000175471,3.8432309977702945,MCTP1,7,"['Heart', 'Liver', 'Vessel', 'Lung', 'Lymph node', 'Skin', 'Kidney']"
ENSG00000138646,3.8152501442163724,HERC5,7,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Intestine']"
ENSG00000149177,3.5714022484918138,PTPRJ,7,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000126709,3.119721492227517,IFI6,7,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Kidney', 'Intestine']"
ENSG00000115267,2.976069543029918,IFIH1,7,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Intestine']"
ENSG00000078114,2.902395429462433,NEBL,7,"['Liver', 'Umbilical vein', 'Vessel', 'Lung', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000137965,2.8526098528224826,IFI44,7,"['Heart', 'Umbilical vein', 'Foreskin', 'Lung', 'Skin', 'Kidney', 'Intestine']"
ENSG00000154146,2.4081995759434025,NRGN,7,"['Cornea', 'Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Intestine']"
ENSG00000133106,2.1807695672689427,EPSTI1,7,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Kidney', 'Intestine']"
ENSG00000132031,2.169722021054673,MATN3,7,"['Heart', 'Umbilical vein', 'Vessel', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000130303,3.396625458231863,BST2,6,"['Cornea', 'Heart', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000159899,3.168788751354173,NPR2,6,"['Heart', 'Umbilical vein', 'Foreskin', 'Lymph node', 'Kidney', 'Intestine']"
ENSG00000128487,2.9725293055978077,SPECC1,6,"['Heart', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000100342,2.9660334608247076,APOL1,6,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin']"
ENSG00000197971,2.877568589699228,MBP,6,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Lymph node']"
ENSG00000170144,2.808215881751426,HNRNPA3,6,"['Cornea', 'Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node']"
ENSG00000134321,2.752354690460018,RSAD2,6,"['Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Skin', 'Intestine']"
ENSG00000170456,2.736422445500452,DENND5B,6,"['Heart', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000183486,2.7232854370752233,MX2,6,"['Heart', 'Umbilical vein', 'Foreskin', 'Lung', 'Skin', 'Intestine']"
ENSG00000151461,2.682303024343223,UPF2,6,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Skin', 'Intestine']"
ENSG00000121895,2.6649958889786123,TMEM156,6,"['Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000065613,2.646916454122706,SLK,6,"['Heart', 'Umbilical vein', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000158716,2.631130516335468,DUSP23,6,"['Heart', 'Liver', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000135052,2.6181326932449833,GOLM1,6,"['Cornea', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000103241,2.456737539365045,FOXF1,6,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Skin', 'Kidney']"
ENSG00000158636,2.4058070996187575,EMSY,6,"['Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000172716,2.3627552244512695,SLFN11,6,"['Cornea', 'Heart', 'Foreskin', 'Lymph node', 'Kidney', 'Intestine']"
ENSG00000143469,2.3460013531187083,SYT14,6,"['Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000180357,2.334147498210236,ZNF609,6,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin']"
ENSG00000131626,2.3044254789370213,PPFIA1,6,"['Heart', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000124721,2.3001890606420385,DNAH8,6,"['Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000167889,2.2745202583294097,MGAT5B,6,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Intestine']"
ENSG00000111731,2.2594466927402963,C2CD5,6,"['Heart', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000267119,2.2318666161829785,RPL10P15,6,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Skin', 'Intestine']"
ENSG00000138311,2.168612879339483,ZNF365,6,"['Heart', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000134326,2.099050503641877,CMPK2,6,"['Heart', 'Umbilical vein', 'Foreskin', 'Lung', 'Skin', 'Intestine']"
ENSG00000183579,2.0932247352789037,ZNRF3,6,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Intestine']"
ENSG00000173705,2.075699920893458,SUSD5,6,"['Heart', 'Vessel', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
