,sigAdj,hgncSymbol,appCount,tissList
ENSG00000232677,2.361544092442001,LINC00665,9,"['Cornea', 'Heart', 'Umbilical vein', 'Vessel', 'Lung', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000233254,2.2374846461932374,RPL21P134,9,"['Heart', 'Liver', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000231882,3.1015904317931815,F10-AS1,8,"['Cornea', 'Heart', 'Peripheral blood', 'Liver', 'Foreskin', 'Lymph node', 'Kidney', 'Intestine']"
ENSG00000179044,2.5624261540724587,EXOC3L1,8,"['Liver', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000137077,2.4656205039384487,CCL21,8,"['Cornea', 'Heart', 'Liver', 'Foreskin', 'Lung', 'Lymph node', 'Skin', 'Kidney']"
ENSG00000224982,2.4017630234628444,TMEM233,8,"['Cornea', 'Heart', 'Vessel', 'Foreskin', 'Lung', 'Lymph node', 'Skin', 'Kidney']"
ENSG00000183850,2.3923886554679217,ZNF730,8,"['Cornea', 'Heart', 'Umbilical vein', 'Lung', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000240376,2.246956168645608,RPS8P8,8,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000102098,2.1154825931070738,SCML2,8,"['Cornea', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Lymph node', 'Skin', 'Kidney']"
ENSG00000100227,2.026552868265159,POLDIP3,8,"['Cornea', 'Heart', 'Liver', 'Umbilical vein', 'Vessel', 'Foreskin', 'Kidney', 'Intestine']"
ENSG00000134531,3.546970463470777,EMP1,7,"['Umbilical vein', 'Vessel', 'Foreskin', 'Lung', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000230979,3.320426698341234,RPL18AP6,7,"['Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000176842,3.1398952341724615,IRX5,7,"['Cornea', 'Heart', 'Vessel', 'Lung', 'Lymph node', 'Skin', 'Kidney']"
ENSG00000235508,3.033073222864362,RPS2P7,7,"['Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000168528,3.0172322016434814,SERINC2,7,"['Cornea', 'Umbilical vein', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000245694,2.9830972470882267,LOC101927480,7,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Kidney']"
ENSG00000133110,2.91262866805978,POSTN,7,"['Heart', 'Vessel', 'Foreskin', 'Lung', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000173966,2.8904651678303774,LOC101928879,7,"['Cornea', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000243181,2.853474552982893,RPL21P80,7,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000182636,2.768056232340636,NDN,7,"['Cornea', 'Heart', 'Umbilical vein', 'Vessel', 'Lymph node', 'Skin', 'Kidney']"
ENSG00000233762,2.7276934216671904,RPS15P4,7,"['Heart', 'Umbilical vein', 'Foreskin', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
