,sigAdj,hgncSymbol,appCount,tissList
ENSG00000112414,2.8390746477546625,ADGRG6,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000175471,2.7592937912762827,MCTP1,5,"['Heart', 'Liver', 'Vessel', 'Lung', 'Kidney']"
ENSG00000185745,2.6387308189904166,IFIT1,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000126709,2.6320319844695215,IFI6,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000157601,2.294722922586965,MX1,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000101347,2.1846709468795824,SAMHD1,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000173193,2.1325758927391374,PARP14,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000115267,1.8005920385880465,IFIH1,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000133106,1.6534962700979208,EPSTI1,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000138642,3.702959146815713,HERC6,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000138496,3.1180793082360307,PARP9,4,"['Heart', 'Vessel', 'Lung', 'Kidney']"
ENSG00000138646,3.0672854175806705,HERC5,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000099219,2.9197382082696723,ERMP1,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000137959,2.4450954996520755,IFI44L,4,"['Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000137965,2.2880160664798974,IFI44,4,"['Heart', 'Lung', 'Kidney', 'Intestine']"
ENSG00000173705,2.2537324629548454,SUSD5,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000198846,2.1986602210959725,TOX,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000137077,2.0359661618893767,CCL21,4,"['Heart', 'Liver', 'Vessel', 'Intestine']"
ENSG00000111331,2.0310511185812063,OAS3,4,"['Heart', 'Vessel', 'Lung', 'Kidney']"
ENSG00000170456,2.0045867868603766,DENND5B,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000187608,1.9280213723986985,ISG15,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000183486,1.8771057069416286,MX2,4,"['Heart', 'Lung', 'Kidney', 'Intestine']"
ENSG00000182149,1.6857695732674471,IST1,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000135114,1.4511939691927511,OASL,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000153944,3.8091930338917592,MSI2,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000225830,3.7347193731439616,ERCC6,3,"['Liver', 'Kidney', 'Intestine']"
ENSG00000149177,3.367065252084148,PTPRJ,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000173848,3.210318174767531,NET1,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000086061,3.054073128054641,DNAJA1,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000059378,2.870665302406422,PARP12,3,"['Heart', 'Kidney', 'Intestine']"
ENSG00000197971,2.8312369473629073,MBP,3,"['Heart', 'Vessel', 'Lung']"
ENSG00000197822,2.7131906040993834,OCLN,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000151914,2.589804179579946,DST,3,"['Liver', 'Kidney', 'Intestine']"
ENSG00000163659,2.5837528208617044,TIPARP,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000198900,2.4721245932228846,TOP1,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000115828,2.4480318292767755,QPCT,3,"['Lung', 'Kidney', 'Intestine']"
ENSG00000167889,2.441983196646049,MGAT5B,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000080815,2.4336459142258247,PSEN1,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000074266,2.3667844230095505,EED,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000163960,2.3455916633451706,UBXN7,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000078114,2.3389742904180397,NEBL,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000165949,2.331496540182299,IFI27,3,"['Heart', 'Kidney', 'Intestine']"
ENSG00000164609,2.310710499973276,SLU7,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000140259,2.2787634259098075,MFAP1,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000103241,2.278197785485774,FOXF1,3,"['Heart', 'Vessel', 'Kidney']"
ENSG00000135899,2.2643430507772995,SP110,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000086065,2.2335517283625586,CHMP5,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000139132,2.2110858305995644,FGD4,3,"['Liver', 'Vessel', 'Intestine']"
ENSG00000132031,2.1998395864615916,MATN3,3,"['Heart', 'Vessel', 'Kidney']"
ENSG00000131507,2.1837498636893478,NDFIP1,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000124721,2.1780520176643745,DNAH8,3,"['Vessel', 'Kidney', 'Intestine']"
ENSG00000068079,2.164739806935365,IFI35,3,"['Heart', 'Vessel', 'Lung']"
ENSG00000176399,2.1273302502927436,DMRTA1,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000119917,2.123903974888158,IFIT3,3,"['Heart', 'Vessel', 'Lung']"
ENSG00000137752,2.108448847442754,CASP1,3,"['Heart', 'Vessel', 'Kidney']"
ENSG00000005175,2.080068708325387,RPAP3,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000196116,2.0734845080152997,TDRD7,3,"['Heart', 'Vessel', 'Lung']"
ENSG00000268388,1.9904479701882103,FENDRR,3,"['Heart', 'Vessel', 'Kidney']"
ENSG00000067066,1.9885223111303088,SP100,3,"['Vessel', 'Kidney', 'Intestine']"
ENSG00000053747,1.8312346119544431,LAMA3,3,"['Heart', 'Vessel', 'Kidney']"
ENSG00000134321,1.8190648560509608,RSAD2,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000117228,1.811075293884114,GBP1,3,"['Heart', 'Vessel', 'Kidney']"
ENSG00000196507,1.800665274510706,TCEAL3,3,"['Heart', 'Liver', 'Kidney']"
ENSG00000163840,1.7565996281004672,DTX3L,3,"['Heart', 'Vessel', 'Lung']"
ENSG00000187109,1.738530634374954,NAP1L1,3,"['Vessel', 'Kidney', 'Intestine']"
ENSG00000104177,1.7384643053830153,MYEF2,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000010030,1.7218628690426545,ETV7,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000188313,1.7181581029115793,PLSCR1,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000072954,1.715576405039064,TMEM38A,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000100784,1.7112759814405658,RPS6KA5,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000158716,1.6381954968572856,DUSP23,3,"['Heart', 'Liver', 'Intestine']"
ENSG00000142235,1.6133829530281547,LMTK3,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000078579,1.5699755763624543,FGF20,3,"['Heart', 'Vessel', 'Intestine']"
ENSG00000075711,1.530894477008622,DLG1,3,"['Heart', 'Kidney', 'Intestine']"
ENSG00000179241,1.499476270030715,LDLRAD3,3,"['Heart', 'Lung', 'Kidney']"
ENSG00000033627,1.4973283115457157,ATP6V0A1,3,"['Heart', 'Vessel', 'Lung']"
ENSG00000002549,1.4760909050751592,LAP3,3,"['Vessel', 'Lung', 'Intestine']"
ENSG00000128487,3.6082078588759647,SPECC1,2,"['Vessel', 'Intestine']"
ENSG00000123104,3.5929437258962755,ITPR2,2,"['Kidney', 'Intestine']"
ENSG00000101160,3.537163810941528,CTSZ,2,"['Heart', 'Kidney']"
ENSG00000087253,3.491553117097059,LPCAT2,2,"['Kidney', 'Intestine']"
ENSG00000062194,3.35109030016121,GPBP1,2,"['Vessel', 'Intestine']"
ENSG00000103852,3.2699209462394836,TTC23,2,"['Heart', 'Intestine']"
ENSG00000143797,3.255930934080237,MBOAT2,2,"['Vessel', 'Intestine']"
ENSG00000122484,3.1995020426820826,RPAP2,2,"['Vessel', 'Intestine']"
ENSG00000106052,3.190342357459361,TAX1BP1,2,"['Vessel', 'Intestine']"
