,sigAdj,hgncSymbol,appCount,tissList
ENSG00000266916,2.3282810056121805,ZNF793-AS1,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000154864,2.2569757078080124,PIEZO2,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000183850,2.1910200762031016,ZNF730,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000100227,2.061018097652877,POLDIP3,5,"['Heart', 'Liver', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000112964,2.002419356978758,GHR,5,"['Heart', 'Vessel', 'Lung', 'Kidney', 'Intestine']"
ENSG00000233254,1.8863016570864102,RPL21P134,5,"['Heart', 'Liver', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000133110,3.353385611382111,POSTN,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000176842,2.652175087042489,IRX5,4,"['Heart', 'Vessel', 'Lung', 'Kidney']"
ENSG00000157510,2.579024905076165,AFAP1L1,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000236552,2.540441053562273,RPL13AP5,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000127589,2.433786055572988,TUBBP1,4,"['Liver', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000223756,2.4158742289362585,TSSC2,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000179044,2.393320315899283,EXOC3L1,4,"['Liver', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000123496,2.3268398827486445,IL13RA2,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000232573,2.304989688451814,RPL3P4,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000187513,2.300473989409777,GJA4,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000196565,2.2878608374640317,HBG2,4,"['Heart', 'Liver', 'Lung', 'Kidney']"
ENSG00000166770,2.2864524394990964,ZNF667-AS1,4,"['Heart', 'Vessel', 'Lung', 'Kidney']"
ENSG00000154553,2.2677322857726154,PDLIM3,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000080709,2.2583275883925698,KCNN2,4,"['Heart', 'Lung', 'Kidney', 'Intestine']"
ENSG00000232677,2.218760550020041,LINC00665,4,"['Heart', 'Lung', 'Kidney', 'Intestine']"
ENSG00000164284,2.215595483347544,GRPEL2,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000242299,2.1654646643237743,RPS18P5,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000153250,2.1611817966910665,RBMS1,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000271131,2.1564770356015566,PPIAP75,4,"['Heart', 'Liver', 'Kidney', 'Intestine']"
ENSG00000234851,2.150294923947492,RPL23AP42,4,"['Heart', 'Liver', 'Kidney', 'Intestine']"
ENSG00000026025,2.1479024058070038,VIM,4,"['Heart', 'Vessel', 'Lung', 'Intestine']"
ENSG00000233913,2.073177081711283,RPL10P9,4,"['Heart', 'Vessel', 'Kidney', 'Intestine']"
ENSG00000205639,2.0598207010084515,MFSD2B,4,"['Liver', 'Vessel', 'Lung', 'Intestine']"
ENSG00000232037,2.044641106599286,RPL21P29,4,"['Heart', 'Liver', 'Lung', 'Kidney']"
ENSG00000230228,2.031921025945227,H3P1,4,"['Heart', 'Liver', 'Kidney', 'Intestine']"
ENSG00000240225,2.0168755018585975,ZNF542P,4,"['Heart', 'Vessel', 'Lung', 'Kidney']"
ENSG00000197496,1.9982281620657227,SLC2A10,4,"['Heart', 'Vessel', 'Lung', 'Kidney']"
