,meanPerfusionScore,hgncSymbol
ENSG00000173705,642.5,SUSD5
ENSG00000084453,444.75,SLCO1A2
ENSG00000126709,889.5,IFI6
ENSG00000112414,720.5,ADGRG6
ENSG00000175471,923.75,MCTP1
ENSG00000142235,337.5,LMTK3
ENSG00000133106,844.0,EPSTI1
ENSG00000118777,368.25,ABCG2
ENSG00000070526,410.75,ST6GALNAC1
ENSG00000110324,211.0,IL10RA
ENSG00000149177,45.0,PTPRJ
ENSG00000170456,146.0,DENND5B
ENSG00000163406,146.0,SLC15A2
ENSG00000167889,168.5,MGAT5B
ENSG00000198019,444.75,FCGR1BP
ENSG00000197093,186.25,GAL3ST4
ENSG00000121895,146.0,TMEM156
ENSG00000171951,467.5,SCG2
ENSG00000165949,642.5,IFI27
ENSG00000096996,422.0,IL12RB1
ENSG00000129244,422.0,ATP1B2
ENSG00000197822,45.0,OCLN
ENSG00000122679,620.0,RAMP3
ENSG00000099219,168.5,ERMP1
ENSG00000166523,269.5,CLEC4E
ENSG00000123104,439.75,ITPR2
ENSG00000163492,467.5,CCDC141
ENSG00000118640,269.5,VAMP8
ENSG00000008277,292.5,ADAM22
ENSG00000033627,146.0,ATP6V0A1
ENSG00000168329,422.0,CX3CR1
ENSG00000135052,0.0,GOLM1
ENSG00000143126,146.0,CELSR2
ENSG00000088053,422.0,GP6
ENSG00000242574,422.0,HLA-DMB
ENSG00000174130,98.75,TLR6
ENSG00000157103,422.0,SLC6A1
ENSG00000081052,68.0,COL4A4
ENSG00000165548,134.75,TMEM63C
ENSG00000006831,168.5,ADIPOR2
ENSG00000152578,292.25,GRIA4
ENSG00000130303,444.5,BST2
ENSG00000146477,22.5,SLC22A3
ENSG00000196209,410.75,SIRPB2
ENSG00000196104,258.25,SPOCK3
ENSG00000204287,134.75,HLA-DRA
ENSG00000162687,0.0,KCNT2
ENSG00000181790,391.25,ADGRB1
ENSG00000198223,422.0,CSF2RA
ENSG00000092068,11.25,SLC7A8
ENSG00000143127,350.5,ITGA10
ENSG00000165959,280.75,CLMN
ENSG00000033170,228.75,FUT8
ENSG00000165071,399.5,TMEM71
ENSG00000196735,298.5,HLA-DQA1
ENSG00000197249,11.25,SERPINA1
ENSG00000066336,422.0,SPI1
ENSG00000087253,327.75,LPCAT2
ENSG00000167851,422.0,CD300A
ENSG00000158457,146.0,TSPAN33
