,sigAdj,hgncSymbol,appCount,tissList
ENSG00000112414,3.336586192830973,ADGRG6,9,"['Cornea', 'Heart', 'Vessel', 'Foreskin', 'Lung', 'Lymph node', 'Skin', 'Kidney', 'Intestine']"
ENSG00000130303,3.4576638860404736,BST2,6,"['Cornea', 'Heart', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000121895,2.734712987443002,TMEM156,6,"['Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000143469,2.3393767049303755,SYT14,6,"['Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000167889,2.1435906015654664,MGAT5B,6,"['Heart', 'Umbilical vein', 'Vessel', 'Foreskin', 'Lymph node', 'Intestine']"
ENSG00000173705,2.0468270213601056,SUSD5,6,"['Cornea', 'Heart', 'Vessel', 'Lymph node', 'Skin', 'Kidney']"
ENSG00000085563,1.7842661497734005,ABCB1,6,"['Heart', 'Umbilical vein', 'Foreskin', 'Lymph node', 'Skin', 'Intestine']"
ENSG00000033170,3.0420860776973555,FUT8,5,"['Cornea', 'Foreskin', 'Lymph node', 'Kidney', 'Intestine']"
ENSG00000165959,2.4283196425077036,CLMN,5,"['Heart', 'Umbilical vein', 'Foreskin', 'Lymph node', 'Intestine']"
ENSG00000165548,2.0942394352967844,TMEM63C,5,"['Cornea', 'Umbilical vein', 'Vessel', 'Foreskin', 'Skin']"
ENSG00000087253,3.071567180149258,LPCAT2,4,"['Foreskin', 'Lymph node', 'Kidney', 'Intestine']"
ENSG00000118640,2.794565322408562,VAMP8,4,"['Vessel', 'Foreskin', 'Lymph node', 'Skin']"
ENSG00000117868,2.5105791926933936,ESYT2,4,"['Umbilical vein', 'Foreskin', 'Lymph node', 'Intestine']"
ENSG00000171603,2.362719509831905,CLSTN1,4,"['Cornea', 'Heart', 'Umbilical vein', 'Lymph node']"
ENSG00000185885,2.3500960053662583,IFITM1,4,"['Umbilical vein', 'Foreskin', 'Lung', 'Lymph node']"
ENSG00000118777,2.280830343497046,ABCG2,4,"['Heart', 'Foreskin', 'Skin', 'Intestine']"
ENSG00000008277,2.0402437824762893,ADAM22,4,"['Umbilical vein', 'Foreskin', 'Skin', 'Intestine']"
ENSG00000121871,1.961743461972075,SLITRK3,4,"['Umbilical vein', 'Vessel', 'Foreskin', 'Skin']"
ENSG00000205336,1.9283967408327225,ADGRG1,4,"['Cornea', 'Heart', 'Lymph node', 'Skin']"
ENSG00000099822,1.6630552339737208,HCN2,4,"['Cornea', 'Heart', 'Umbilical vein', 'Lymph node']"
ENSG00000126777,4.905506541303665,KTN1,3,"['Umbilical vein', 'Lymph node', 'Skin']"
ENSG00000123104,4.418983710724192,ITPR2,3,"['Skin', 'Kidney', 'Intestine']"
ENSG00000144366,3.6434723338452373,GULP1,3,"['Foreskin', 'Skin', 'Intestine']"
ENSG00000146477,3.578425742754352,SLC22A3,3,"['Umbilical vein', 'Foreskin', 'Intestine']"
ENSG00000137393,3.4713380394959814,RNF144B,3,"['Lymph node', 'Skin', 'Intestine']"
ENSG00000146648,3.4549549872965453,EGFR,3,"['Umbilical vein', 'Lymph node', 'Intestine']"
ENSG00000090686,3.4157476285850294,USP48,3,"['Lymph node', 'Skin', 'Kidney']"
ENSG00000171951,3.3608287968447073,SCG2,3,"['Umbilical vein', 'Lymph node', 'Skin']"
ENSG00000163681,3.2845671360301516,SLMAP,3,"['Umbilical vein', 'Lymph node', 'Skin']"
ENSG00000103264,3.2380010734168727,FBXO31,3,"['Heart', 'Umbilical vein', 'Lymph node']"
ENSG00000167601,3.236980406265355,AXL,3,"['Cornea', 'Lymph node', 'Intestine']"
ENSG00000125779,2.9966358664509243,PANK2,3,"['Lung', 'Lymph node', 'Intestine']"
ENSG00000096433,2.991420931345053,ITPR3,3,"['Cornea', 'Umbilical vein', 'Lymph node']"
ENSG00000156599,2.9052653441590266,ZDHHC5,3,"['Cornea', 'Heart', 'Lymph node']"
ENSG00000163682,2.832436959110275,RPL9,3,"['Cornea', 'Lymph node', 'Skin']"
ENSG00000110446,2.794932154030436,SLC15A3,3,"['Heart', 'Umbilical vein', 'Foreskin']"
ENSG00000102119,2.644666078222833,EMD,3,"['Cornea', 'Heart', 'Lymph node']"
ENSG00000110427,2.6144977328483456,KIAA1549L,3,"['Cornea', 'Lymph node', 'Intestine']"
ENSG00000003989,2.607224268539144,SLC7A2,3,"['Lymph node', 'Skin', 'Kidney']"
ENSG00000169245,2.5786575581222624,CXCL10,3,"['Umbilical vein', 'Vessel', 'Skin']"
ENSG00000096996,2.528060413154872,IL12RB1,3,"['Umbilical vein', 'Vessel', 'Lymph node']"
ENSG00000164930,2.4870487655295146,FZD6,3,"['Cornea', 'Skin', 'Kidney']"
ENSG00000091129,2.4036429392228786,NRCAM,3,"['Lymph node', 'Skin', 'Kidney']"
ENSG00000180257,2.3770113148282506,ZNF816,3,"['Foreskin', 'Lymph node', 'Skin']"
ENSG00000143515,2.368961906836501,ATP8B2,3,"['Cornea', 'Heart', 'Lymph node']"
